fold,split_strategy,train_rows,holdout_rows,train_end,holdout_start,holdout_end,model,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,roc_auc,average_precision
1,rolling,360,72,2025-01-15 23:00:00,2025-01-16,2025-01-18 23:00:00,Isolation Forest,0.0,0.0,0.0,71,1,0,0,,
1,rolling,360,72,2025-01-15 23:00:00,2025-01-16,2025-01-18 23:00:00,Random Forest,0.0,0.0,0.0,72,0,0,0,,
1,rolling,360,72,2025-01-15 23:00:00,2025-01-16,2025-01-18 23:00:00,XGBoost,0.0,0.0,0.0,72,0,0,0,,
1,rolling,360,72,2025-01-15 23:00:00,2025-01-16,2025-01-18 23:00:00,PyTorch Autoencoder,0.0,0.0,0.0,71,1,0,0,,
2,rolling,432,72,2025-01-18 23:00:00,2025-01-19,2025-01-21 23:00:00,Isolation Forest,0.0,0.0,0.0,72,0,0,0,,
2,rolling,432,72,2025-01-18 23:00:00,2025-01-19,2025-01-21 23:00:00,Random Forest,0.0,0.0,0.0,72,0,0,0,,
2,rolling,432,72,2025-01-18 23:00:00,2025-01-19,2025-01-21 23:00:00,XGBoost,0.0,0.0,0.0,71,1,0,0,,
2,rolling,432,72,2025-01-18 23:00:00,2025-01-19,2025-01-21 23:00:00,PyTorch Autoencoder,0.0,0.0,0.0,69,3,0,0,,
3,rolling,504,72,2025-01-21 23:00:00,2025-01-22,2025-01-24 23:00:00,Isolation Forest,0.6,0.3333333333333333,0.42857142857142855,61,2,6,3,0.8324514991181657,0.5698929635711245
3,rolling,504,72,2025-01-21 23:00:00,2025-01-22,2025-01-24 23:00:00,Random Forest,0.0,0.0,0.0,63,0,9,0,0.6225749559082893,0.2378917378917379
3,rolling,504,72,2025-01-21 23:00:00,2025-01-22,2025-01-24 23:00:00,XGBoost,0.0,0.0,0.0,63,0,9,0,0.34744268077601415,0.10179020518592505
3,rolling,504,72,2025-01-21 23:00:00,2025-01-22,2025-01-24 23:00:00,PyTorch Autoencoder,0.5,0.4444444444444444,0.47058823529411764,59,4,5,4,0.763668430335097,0.5791914319349929
4,rolling,576,72,2025-01-24 23:00:00,2025-01-25,2025-01-27 23:00:00,Isolation Forest,1.0,1.0,1.0,64,0,0,8,1.0,1.0
4,rolling,576,72,2025-01-24 23:00:00,2025-01-25,2025-01-27 23:00:00,Random Forest,1.0,1.0,1.0,64,0,0,8,1.0,1.0
4,rolling,576,72,2025-01-24 23:00:00,2025-01-25,2025-01-27 23:00:00,XGBoost,1.0,1.0,1.0,64,0,0,8,1.0,1.0
4,rolling,576,72,2025-01-24 23:00:00,2025-01-25,2025-01-27 23:00:00,PyTorch Autoencoder,0.8,1.0,0.8888888888888888,62,2,0,8,1.0,1.0
5,rolling,648,72,2025-01-27 23:00:00,2025-01-28,2025-01-30 23:00:00,Isolation Forest,0.3333333333333333,0.6666666666666666,0.4444444444444444,65,4,1,2,0.9758454106280193,0.6984126984126985
5,rolling,648,72,2025-01-27 23:00:00,2025-01-28,2025-01-30 23:00:00,Random Forest,1.0,1.0,1.0,69,0,0,3,1.0,1.0
5,rolling,648,72,2025-01-27 23:00:00,2025-01-28,2025-01-30 23:00:00,XGBoost,1.0,1.0,1.0,69,0,0,3,1.0,1.0
5,rolling,648,72,2025-01-27 23:00:00,2025-01-28,2025-01-30 23:00:00,PyTorch Autoencoder,0.3333333333333333,1.0,0.5,63,6,0,3,0.9565217391304347,0.4206349206349206
