feature,importance
pressure_flow_ratio,0.21119973703400075
temperature_c,0.17427099285908745
temperature_roll_mean_5,0.11404480388478506
flow_rate_m3h,0.06966628291491438
pressure_roll_std_5,0.0678328157931874
pressure_psi,0.06239032294146031
flow_roll_mean_5,0.06135133166657762
temperature_roll_std_5,0.042958567430734576
pressure_roll_mean_5,0.037347483146301416
temperature_zscore_12,0.03700955571372548
pressure_zscore_12,0.022833799421997307
flow_zscore_12,0.019118970741804235
pressure_diff,0.017641972050067144
flow_roll_std_5,0.017538957660980698
hour_sin,0.014106695009712195
hour_cos,0.012762859313990127
temperature_diff,0.011123267379682568
flow_diff,0.00680158503699147
