feature,importance
pressure_flow_ratio,0.2925972
temperature_c,0.22474852
flow_roll_mean_5,0.12226381
temperature_roll_std_5,0.09312139
pressure_psi,0.06709581
pressure_roll_mean_5,0.042065095
hour_sin,0.03623127
temperature_roll_mean_5,0.02631014
hour_cos,0.024468843
pressure_roll_std_5,0.020309722
pressure_zscore_12,0.010256728
flow_roll_std_5,0.009676089
temperature_diff,0.009413912
pressure_diff,0.0060125957
flow_zscore_12,0.005072852
flow_rate_m3h,0.004226109
temperature_zscore_12,0.0040141935
flow_diff,0.0021157404
